seq_number,lat,lon
0,31.677524740429657,-86.33557426469099
1,31.692034309288978,-86.31823140773925
2,31.706543878148302,-86.30088855078752
3,31.721053447007627,-86.28354569383578
4,31.735563015866948,-86.26620283688405
5,31.750072584726272,-86.2488599799323
6,31.764582153585597,-86.23151712298058
7,31.779091722444917,-86.21417426602883
8,31.793601291304242,-86.19683140907709
9,31.808110860163566,-86.17948855212536
10,31.822620429022887,-86.16214569517362
11,31.83712999788221,-86.14480283822189
12,31.851639566741536,-86.12745998127015
13,31.866149135600857,-86.11011712431842
14,31.88065870446018,-86.09277426736668
15,31.895168273319506,-86.07543141041495
16,31.909677842178827,-86.05808855346321
17,31.92418741103815,-86.04074569651146
18,31.938696979897475,-86.02340283955974
19,31.953206548756796,-86.006059982608
20,31.96771611761612,-86.006059982608
21,31.982225686475445,-85.98871712565627
22,31.996735255334766,-85.97137426870452
23,32.01124482419409,-85.9540314117528
24,32.02575439305341,-85.9540314117528
25,32.040263961912736,-85.93668855480105
26,32.05477353077206,-85.91934569784932
27,32.069283099631384,-85.90200284089758
28,32.08379266849071,-85.90200284089758
29,32.098302237350026,-85.88465998394584
30,32.11281180620935,-85.86731712699411
31,32.127321375068675,-85.86731712699411
32,32.141830943928,-85.84997427004237
33,32.156340512787324,-85.83263141309064
34,32.17085008164665,-85.83263141309064
35,32.185359650505966,-85.8152885561389
36,32.19986921936529,-85.79794569918717
37,32.214378788224614,-85.79794569918717
38,32.22888835708394,-85.78060284223542
39,32.24339792594326,-85.7632599852837
40,32.25790749480258,-85.7632599852837
41,32.272417063661905,-85.74591712833195
42,32.28692663252123,-85.72857427138023
43,32.301436201380554,-85.71123141442848
44,32.31594577023988,-85.71123141442848
45,32.3304553390992,-85.69388855747674
46,32.34496490795852,-85.69388855747674
47,32.359474476817844,-85.67654570052501
48,32.37398404567717,-85.65920284357327
49,32.38849361453649,-85.64185998662154
50,32.40300318339582,-85.64185998662154
51,32.41751275225514,-85.6245171296698
52,32.43202232111446,-85.60717427271807
53,32.446531889973784,-85.60717427271807
54,32.46104145883311,-85.58983141576633
55,32.47555102769243,-85.58983141576633
56,32.49006059655176,-85.60717427271807
57,32.50457016541108,-85.6245171296698
58,32.5190797342704,-85.6245171296698
59,32.53358930312972,-85.64185998662154
60,32.54809887198905,-85.6245171296698
61,32.56260844084837,-85.64185998662154
62,32.577118009707696,-85.6245171296698
63,32.591627578567014,-85.60717427271807
64,32.60613714742634,-85.58983141576633
65,32.62064671628566,-85.5724885588146
66,32.63515628514499,-85.55514570186286
67,32.64966585400431,-85.53780284491111
68,32.664175422863636,-85.52045998795938
69,32.67868499172295,-85.52045998795938
70,32.69319456058228,-85.50311713100764
71,32.7077041294416,-85.50311713100764
72,32.722213698300926,-85.50311713100764
73,32.73672326716025,-85.50311713100764
74,32.751232836019575,-85.48577427405591
75,32.76574240487889,-85.46843141710417
76,32.78025197373822,-85.45108856015244
77,32.79476154259754,-85.4337457032007
78,32.809271111456866,-85.41640284624897
79,32.82378068031619,-85.39905998929723
80,32.838290249175515,-85.38171713234549
81,32.85279981803483,-85.36437427539376
82,32.867309386894156,-85.34703141844201
83,32.88181895575348,-85.32968856149029
84,32.896328524612805,-85.31234570453854
85,32.91083809347213,-85.29500284758682
86,32.92534766233145,-85.27765999063507
87,32.93985723119077,-85.26031713368334
88,32.954366800050096,-85.2429742767316
89,32.96887636890942,-85.22563141977986
90,32.983385937768745,-85.20828856282813
91,32.99789550662807,-85.19094570587639
92,33.012405075487386,-85.17360284892466
93,33.02691464434671,-85.15625999197292
94,33.041424213206035,-85.13891713502119
95,33.05593378206536,-85.12157427806945
96,33.070443350924684,-85.10423142111772
97,33.08495291978401,-85.08688856416597
98,33.099462488643326,-85.06954570721423
99,33.11397205750265,-85.0522028502625
100,33.128481626361975,-85.03485999331076
101,33.1429911952213,-85.01751713635903
102,33.15750076408062,-85.00017427940729
103,33.17201033293995,-84.98283142245556
104,33.186519901799265,-84.96548856550382
105,33.20102947065859,-84.94814570855209
106,33.215539039517914,-84.93080285160035
107,33.23004860837724,-84.9134599946486
108,33.24455817723656,-84.89611713769688
109,33.25906774609588,-84.87877428074513
110,33.273577314955205,-84.8614314237934
111,33.28808688381453,-84.84408856684166
112,33.30259645267385,-84.82674570988993
113,33.31710602153318,-84.80940285293819
114,33.3316155903925,-84.79205999598646
115,33.34612515925182,-84.77471713903472
116,33.360634728111144,-84.75737428208299
117,33.37514429697047,-84.74003142513125
118,33.38965386582979,-84.7226885681795
119,33.40416343468912,-84.70534571122778
120,33.41867300354844,-84.68800285427604
121,33.43318257240776,-84.67065999732431
122,33.44769214126708,-84.65331714037256
123,33.46220171012641,-84.63597428342084
124,33.47671127898573,-84.6186314264691
125,33.49122084784506,-84.60128856951737
126,33.50573041670438,-84.58394571256562
127,33.5202399855637,-84.56660285561388
128,33.53474955442302,-84.54925999866215
129,33.54925912328235,-84.53191714171041
130,33.56376869214167,-84.51457428475868
131,33.578278261000996,-84.49723142780694
132,33.59278782986031,-84.47988857085521
133,33.60729739871964,-84.46254571390347
134,33.62180696757896,-84.44520285695174
135,33.63631653643829,-84.42786
